category_id,parent_id,category_name
5233,1,"        <Name ID=""2405903"" Value="""" langid=""39""/>
"
4175,4167,tabako gaminių priedai ir reikmenys
3950,4615,vieliniai šepečiai
2132,2108,biliardo kamuoliukai
4831,1333,asmeninės vėsinimo sistemos
2714,2707,dujų kasetės ir balionai
4543,4541,prieškambario stalai
3145,4455,pagalvių užvalkalai
1712,571,nuotolio matuokliai
4690,1732,"        <Name ID=""2130042"" Value="""" langid=""39""/>
"
1756,2844,RAID valdikliai
403,4941,"        <Name ID=""2507941"" Value="""" langid=""39""/>
"
6141,1228,"        <Name ID=""3134835"" Value="""" langid=""39""/>
"
154,150,delniniai kompiuteriai
5137,2836,scenų ir studijų įranga
1707,2845,mikroskopai
1339,1058,garso kolonėlių komplektai namams
3998,4885,grafinai
2970,2581,kūno kremai
3829,4915,RF moduliai signalizacijoms išplėsti
2381,1856,varžtai
3818,1315,elektriniai gėrimų dalytuvai
5123,1960,paspirtukai ir jų priedai
2797,4723,poliravimo reikmenys rotaciniams įrankiams
3418,4764,belaidžiai genėjimo įrankiai
3809,3807,unisekso stiliaus marškinėliai suaugusiems
1896,1885,akumuliatoriniai peiliniai pjūklai
5138,5137,scenų ir studijų apšvietimas
4224,4219,"        <Name ID=""1933744"" Value="""" langid=""39""/>
"
1015,4958,lipnios priemonės ir klijai
706,854,užrašų knygutės
2591,2332,stalinės lempos
3704,1309,šokoladinės dražė
2120,2107,fight trunks
2264,585,fotostudijos blykstės
214,2840,optinių diskų įrenginiai
4655,1357,kombinuotieji raktai
5459,5467,vaikiškų planšetinių kompiuterių priedai
5904,4881,"        <Name ID=""3069276"" Value="""" langid=""39""/>
"
4146,3710,"        <Name ID=""1916906"" Value="""" langid=""39""/>
"
5448,4958,sandarinimo putų valikliai
3111,2074,sodo žarnų ritės
4060,4049,vienkartinių indų rinkiniai
1228,2835,asmens saugumas
2116,1960,apsaugos priemonės sportui
3774,4615,glaistyklės
4939,4049,"        <Name ID=""2207267"" Value="""" langid=""39""/>
"
